"","Home","Away","formPossesionHome","formCriticalHome","formAttemptsHome","formFailedAttemptsHome","formCornersHome","formOffsidesHome","formGoalkeeperSavesHome","formFaulsHome","formYellowHome","formRedHome","formPossesionAway","formCriticalAway","formAttemptsAway","formFailedAttemptsAway","formCornersAway","formOffsidesAway","formGoalkeeperSavesAway","formFaulsAway","formYellowAway","formRedAway","formScoresHome","formScoresAway","lowerLeagueHome","lowerLeagueAway","formLosesHome","formDrawsHome","formLosesAway","formDrawsAway","fromScoreLostHome","fromScoreLostAway","scoreHome","scoreAway"
"1","Podbeskidzie BB","Pogoń Szczecin",49,17,6.33333333333333,6,5.66666666666667,2.66666666666667,2.66666666666667,11.6666666666667,2,0,43.3333333333333,8.66666666666667,2.33333333333333,5,7,1.66666666666667,4.33333333333333,15.3333333333333,2.33333333333333,0,2.33333333333333,0,"1","0",1,2,2,3,0.333333333333333,0.666666666666667,2,3
"2","Jagiellonia Białystok","Lechia Gdańsk",45,15,5,7,4.66666666666667,1.33333333333333,3.66666666666667,14.3333333333333,1.33333333333333,0.333333333333333,51.3333333333333,20.6666666666667,7.66666666666667,9.66666666666667,7.33333333333333,2.33333333333333,3.66666666666667,15.6666666666667,1.66666666666667,0,2,1.33333333333333,"0","0",2,3,1,3,0.666666666666667,3,2,2
"3","Zawisza Bydgoszcz","Korona Kielce",52,17,4.33333333333333,8.33333333333333,4.33333333333333,1.66666666666667,4,14,2.33333333333333,0,47.6666666666667,13.3333333333333,6,4.66666666666667,5,2.66666666666667,3.66666666666667,16,3,0.333333333333333,0.333333333333333,2,"0","0",3,2,2,3,3.33333333333333,1,2,0
"4","Lech Poznań","Piast Gliwice",57.3333333333333,13,5.66666666666667,5.66666666666667,5.66666666666667,2.66666666666667,2,11,2.33333333333333,0,46.6666666666667,11,5,4,4.33333333333333,2,6.33333333333333,13.3333333333333,1.33333333333333,0,1.33333333333333,1.66666666666667,"0","0",2,2,2,2,1.33333333333333,0.666666666666667,4,0
"5","Śląsk Wrocław","Ruch Chorzów",49.6666666666667,16.6666666666667,7,6.33333333333333,4.33333333333333,1.33333333333333,3,10.6666666666667,0.666666666666667,0,41.6666666666667,10,2.66666666666667,5.66666666666667,2,1,2,12.6666666666667,0.666666666666667,0,3,0.666666666666667,"0","0",1,1,2,2,1.66666666666667,0.333333333333333,2,0
"6","Górnik Zabrze","Cracovia",49.6666666666667,13.3333333333333,3.33333333333333,6.33333333333333,4,3,3.66666666666667,12.3333333333333,1.33333333333333,0,57.6666666666667,18.3333333333333,4.66666666666667,10.6666666666667,2,2,4.66666666666667,12.6666666666667,1.33333333333333,0,1.33333333333333,1,"0","0",2,1,2,3,1.33333333333333,1.33333333333333,2,0
"7","Lechia Gdańsk","Podbeskidzie BB",57,16,6,7.33333333333333,9,2,2.66666666666667,17,1.66666666666667,0,50.6666666666667,17.6666666666667,5.66666666666667,7,7.33333333333333,0.666666666666667,3,12.6666666666667,1.66666666666667,0,2,2,"0","1",1,3,2,2,1.66666666666667,1.33333333333333,1,0
"8","Pogoń Szczecin","Śląsk Wrocław",50.3333333333333,10.6666666666667,4,5,6.33333333333333,2.33333333333333,3,15,1.33333333333333,0,48,21.6666666666667,6.33333333333333,9.66666666666667,4.66666666666667,0.333333333333333,2.66666666666667,9.66666666666667,0.333333333333333,0,1,2.66666666666667,"0","0",2,2,1,1,0.333333333333333,1,4,1
"9","Cracovia","Legia Warszawa",57.6666666666667,14.3333333333333,3.33333333333333,8.66666666666667,4.66666666666667,3,4.33333333333333,13.3333333333333,1.66666666666667,0,55.6666666666667,11,4,5.66666666666667,5.33333333333333,0,4,14,2,0,0.666666666666667,1,"0","0",3,2,2,1,0.333333333333333,1.66666666666667,1,3
"10","Ruch Chorzów","Górnik Łęczna",48.6666666666667,10.3333333333333,1.66666666666667,7,3.33333333333333,0.666666666666667,2.33333333333333,9.66666666666667,0.333333333333333,0,46,13,4,5,4,3,2,13,1,0,0,1,"0","1",3,2,1,4,1,2,1,2
"11","Zawisza Bydgoszcz","Jagiellonia Białystok",53.6666666666667,17,4.33333333333333,7.66666666666667,6.66666666666667,1.66666666666667,1.66666666666667,14.3333333333333,2,0,39.3333333333333,14.3333333333333,5.33333333333333,6.33333333333333,5,1.33333333333333,2.33333333333333,14.6666666666667,1.33333333333333,0.333333333333333,1,2.66666666666667,"0","0",3,1,1,4,2.66666666666667,1,1,3
"12","Górnik Zabrze","Lech Poznań",47.3333333333333,16.6666666666667,4.66666666666667,8,5.33333333333333,3,3.33333333333333,14.6666666666667,2,0,54,13,7.33333333333333,4.66666666666667,3.66666666666667,3.33333333333333,2.33333333333333,13.3333333333333,3,0,1,2.66666666666667,"0","0",2,1,2,1,0.666666666666667,0.666666666666667,1,1
"13","Wisła Kraków","Piast Gliwice",48.6666666666667,10,3.66666666666667,5.66666666666667,4.66666666666667,2.33333333333333,4.66666666666667,17.6666666666667,2,0,45,9.66666666666667,4,3.33333333333333,3,4,6,15.6666666666667,1.33333333333333,0,1.66666666666667,1,"0","0",1,3,3,2,2.66666666666667,1.33333333333333,1,1
"14","Jagiellonia Białystok","Cracovia",41,16,5.66666666666667,7,5,1,2.66666666666667,10,0.666666666666667,0,54.6666666666667,15.6666666666667,4.66666666666667,9.33333333333333,7.33333333333333,3,4.33333333333333,14.3333333333333,1.33333333333333,0,2.33333333333333,1,"0","0",1,3,3,2,2.33333333333333,1.66666666666667,2,1
"15","Piast Gliwice","Lechia Gdańsk",42.3333333333333,6.33333333333333,2.33333333333333,2.33333333333333,1.33333333333333,4,7.33333333333333,14.6666666666667,0.333333333333333,0,57.3333333333333,11.6666666666667,4.33333333333333,5.33333333333333,8.66666666666667,2.33333333333333,3.66666666666667,18.6666666666667,1.66666666666667,0,1,1.66666666666667,"0","0",2,3,1,2,0.666666666666667,2.33333333333333,1,3
"16","Korona Kielce","Pogoń Szczecin",44.6666666666667,10,3.33333333333333,4.33333333333333,4.66666666666667,3.33333333333333,3,13,2,0,55.3333333333333,13,4.66666666666667,5.66666666666667,7.33333333333333,2.66666666666667,2,11.6666666666667,1,0,0.333333333333333,2.33333333333333,"0","0",4,1,1,2,1,3,2,2
"17","Legia Warszawa","Górnik Zabrze",54.3333333333333,10.6666666666667,3.33333333333333,5.66666666666667,5.33333333333333,0.333333333333333,4,15.3333333333333,1.33333333333333,0,50,17,5.33333333333333,7.33333333333333,5.66666666666667,1.66666666666667,3.33333333333333,13.3333333333333,2.66666666666667,0,1.66666666666667,1,"0","0",2,1,2,2,1,0.666666666666667,1,1
"18","Podbeskidzie BB","Ruch Chorzów",47.3333333333333,15,5,6.33333333333333,6.66666666666667,1.33333333333333,2.66666666666667,14.3333333333333,1.66666666666667,0.333333333333333,52.3333333333333,10.3333333333333,2.66666666666667,6.33333333333333,4.33333333333333,0.666666666666667,3,9.66666666666667,0.666666666666667,0,1.33333333333333,0.333333333333333,"1","0",3,2,3,2,1.33333333333333,2,3,0
"19","Śląsk Wrocław","Zawisza Bydgoszcz",47.3333333333333,19.3333333333333,6.66666666666667,8.66666666666667,3.66666666666667,1,3,14.6666666666667,1.33333333333333,0.333333333333333,51.6666666666667,12.6666666666667,4,5.66666666666667,5.66666666666667,1,2.66666666666667,15.6666666666667,2.66666666666667,0,2.66666666666667,1.33333333333333,"0","0",2,1,3,1,1.66666666666667,1.66666666666667,2,1
"20","Lech Poznań","Wisła Kraków",51,13.3333333333333,7,5,4.33333333333333,1.66666666666667,2,14.3333333333333,3.66666666666667,0,55,16.6666666666667,6.33333333333333,8.33333333333333,8,2,2.33333333333333,15.6666666666667,1.33333333333333,0,1.66666666666667,1.33333333333333,"0","0",2,2,1,3,1,1,2,3
"21","Górnik Łęczna","GKS Bełchatów",45,13,5,5,5,5,3,11.5,1,0,49,9,4.66666666666667,3.33333333333333,4.66666666666667,1,2,17.6666666666667,2.66666666666667,0,1.5,2,"1","1",1,3,1,1,0.666666666666667,1,1,1
