"description","id","user_id","district_id","advertiser_type","params.furniture","params.price1","params.price2","params.builttype","params.m","params.rooms","params.rent","external_id","last_refresh","wolna"
"Wynajmę kawalerkę os.Kwiatowe  (suterena)
Dom wolnostojący z niezależnym wejściem.
Powierzchnia lokalu wynosi 25m.
Salon z aneksem kuchennym i łazienka.
Kuchnia wyposażona w niezbędny sprzęt AGD
lodówko zamrażarka, piec gazowy, okap.
W salonie narożnik, dwie pufy, stolik szklany,
dwie duże szafy i TV.
Czynsz 1300zł +media (woda,prąd według rzeczywistego zużycia)
Ogrzewanie, śmieci są wliczone w opłaty czynszu .
wymagana kaucja1300zł 
W pobliżu przystanek autobusowy.
Wolne od zaraz. Bez dzieci. Bez zwierząt.
Zapraszam.
Marzena tel.880434946",576881125,6003001,323,"private","yes","price",1300,"wolnostojacy",25,"one",1,NA,2020-01-15 21:35:13,FALSE
"Wynajmę kawalerkę w budynku Chartowo Tower, fajny układ z kuchnią (lodówka, płyta grzewcza) schowaną za rogiem, łazienką z wanną, balkon. Więcej informacji w wiadomości prywatnej lub pod numerem telefonu.

Cena: 1200 zł + 500 zł czynsz (ochrona, śmieci, windy, ryczałt wody, ogrzewanie) dodatkowo prąd i co kwartał nadmierne zużycie wody.

Mieszkanie będzie można obejrzeć/wynając 4 stycznia
*PS - zdjęcia stare sprzed wynajmu lokatorów sprzed kilku lat, teraz jest odmalowane i z pewnością wyglada lepiej niż na zdjęciach ;)",576910376,21117567,761,"private","no","price",1200,"blok",33,"one",NA,60070376,2020-01-01 18:09:00,FALSE
"Uwaga: rezerwacja do 15.01. 
Wynajmę sympatyczną kawalerkę z balkonem w zamkniętym strzeżonym kompleksie Atanera na os.Batorego.
100m. od CH Tesco, 
300m. od PeSTki. 
Pokój i kuchnia umeblowane. Łazienka z szafkami i pralką.
Duża szafa w korytarzu. 
Ciche i czyste (malowanie 2018r.) lokum.

Opłaty:
Cena (czynsz najmu) 1300 zl. + media (ok. 280 na rzecz wspólnoty obejmujące CO, wodę i opłaty wspólne plus prąd wg zużycia).
Kaucja miesięczna (1600 zł.)
Dostępna od 15 stycznia 2020r.",576927556,7476017,709,"private","yes","price",1300,"blok",38,"one",0.01,NA,2020-01-01 20:00:35,FALSE
"Naramowice. Duża kawalerka umeblowana o powierzchni 35 m2. Mieszkanie ma kuchnię w formie aneksu, pokój, przedpokój i łazienkę. W pokoju oraz w części aneksu na podłodze ułożono panele, w łazience na podłodze i ścianach  płytki . Okna PCV. Drzwi wejściowe antywłamaniowe. Mieszkanie wyposażone w lodówkę i zmywarkę.              Czynsz najmu 1150 zł, dodatkowe opłaty 400 zł. Wymagana kaucja 1150 zł. Okres wynajmu nie krótszy niż 12 miesięcy. Telefon: (użyj formularza kontaktowego)",576937923,21117567,705,"private","yes","price",1150,"blok",35,"one",NA,60070582,2020-01-16 12:32:29,FALSE
"Do wynajęcia jasne , ciepłe i ciche mieszkanie na 1 piętrze przy ul. Cześnikowskiej na poznańskim Grunwaldzie. Kawalerka o powierzchni 40 m2 to przestronny, ustawny pokój z wyjściem na balkon, osobna kuchnia z oknem, łazienka i korytarz. Mieszkanie umeblowane , kuchnia wyposażona w kuchenkę gazową, lodówkę i pralkę.

W pobliżu LIDL, Biedronka, King Cross .Z pobliskich przystanków tramwajowych i autobusowych połączenia praktycznie z całym Poznaniem.

Opłaty miesięczne:

-  wynajem 1300 zł

- czynsz administracyjny ok. 350 zł przy dwóch osobach

- prąd i gaz w/g zużycia

- dodatkowo płatne TV, internet - umowa podpisywana na siebie.

Kaucja zwrotna w wysokości 1600 zł.

Oferta dla osób pracujących.

Zapraszam do oglądania , kontakt: 693 700 684",576951362,19912959,323,"private","yes","arranged",1300,"blok",40,"one",350,NA,2020-01-01 23:09:04,FALSE
"Odstąpię słoneczny, umeblowany pokój  dla studenta lub osoby pracującej położony w Poznaniu na ul. Staszica 3 - 
Pokój znajduje się w mieszkaniu 7 osobowym, wyposażonym w dwie łazienki i wspólną kuchnię,  3 minuty do przystanku tramwajowego. w okolicy Biedronka, Żabka cena 780zł + media w granicy 65zł",576963183,45530633,325,"private","yes","arranged",780,"kamienica",16,"one",65,NA,2020-01-02 08:43:01,FALSE
"Oferujemy do najmu kawalerkę 32m2 przy ul. Pobiedziskiej ( ok Malty ), bardzo blisko (ok 10-15 min pieszo) Wydział Architektury Politechniki Poznańskiej i Wyższa Szkoła Gastronomii i Hotelarstwa. Mieszkanie znajduje się na parterze niskiego budynku na terenie kameralnego osiedla nieopodal Malty przy lasku. Mieszkanie umeblowane i wyposażone( lodówka , pralka) . Okna pcv (żaluzje zewnętrzne), panele na podłodze , łazienka z kabiną w płytkach , aneks kuchenny z oknem na podłodze terakota .
Spokojna okolica w pobliżu terenów rekreacyjnych nad Maltą, Termy Maltańskie z basenami, ZOO, podstawowe sklepy, w okolicy duże Centra Handlowe.

Ofertę prezentuje Rafał Antkowiak 603 67 88 61

Cena najmu 1200 zł/mies + opłaty administracyjne + podstawowy pakiet kTV ok. 360zł + energia elektryczna co 2 miesiące.

Kaucja w wysokości opłaty jednomiesięcznej.

Zdjęcia archiwalne możliwa zmiana kolorystyki ścian.
Zapraszamy na prezentację.",576986887,10392135,723,"business","yes","price",1200,"blok",32,"one",360,NA,2020-05-18 11:40:07,FALSE
"Oferujemy do wynajęcia nowoczesne mieszkanie z balkonem na kameralnym osiedlu Nowe Ogrody przy ul. J. Meissnera na Poznańskiej Woli w dzielnicy Ogrody.
Mieszkanie znajduje się na 3 pietrze 4 piętrowego budynku z windą.
Dzieli się na : przedpokój, pokój z aneksem kuchennym i balkonem oraz łazienkę.

W pokoju rozkładana kanapa z pojemnikiem na pościel, stół i 2 krzesła.
Aneks kuchenny umeblowany i wyposażony w: zmywarkę, lodówkę, płytę grzewczą, piekarnik, kuchenkę mikrofalową, okap kuchenny.
W przedpokoju duża szafa w zabudowie typu Komandor z półkami, wieszakami i szufladami.
Łazienka w płytkach, kabina prysznicowa z deszczownią, umywalka z szafka, wc-podwieszane, lustro. W skład wyposażenia wchodzi również pralka.

Cicha spokojna okolica, na miejscu sklepik i kilka punktów usługowych, niedaleko duże centrum handlowe King Cross. Blisko jezioro Rusałka i Ogród Botaniczny. Do komunikacji autobusowej ok 7 min pieszo a do pętli na Ogrodach 15 min.
Miejsca postojowe dla samochodów przy budynku, można także wynająć miejsce w garażu podziemnym.
Na terenie osiedla przystanek komunikacji miejskiej.

Cena najmu 1300 zł + opłaty admin. ok 270 zł + prąd co 2 miesiące

Wymagana kaucja w wysokości jednomiesięcznej opłaty.

Oferta przeznaczona dla osób pracujących, bez zwierząt.

Ofertę prezentuje Rafał Antkowiak 603 678 861

Zapraszamy na prezentację.",576988905,10392135,707,"business","yes","price",1300,"blok",28,"one",270,NA,2020-01-02 11:42:34,FALSE
"Polecam do wynajęcia piękny apartament usytuowany na Łazarzu, w zrewitalizowanej kamienicy przy ulicy Niegolewskich 20.
Mieszkanie ma powierzchnię 47m2 w tym salon z aneksem kuchenny(zmywarka, piekarnik, płyta elektryczna, lodówka, zamrażarka, mikrofala) i częścią sypialnianą(łóżko 140x200, TV), łazienka(wanna/prysznic, pralka, umywalka), korytarz( dwie szafy zabudowane i jedna wolnostojąca) i balkon od strony ulicy.
Czynsz najmu to 2100zł dodatkowo czynsz administracyjny 450zł( cieplik miejski, woda ciepła i zimna, administracja, śmieci)+prąd.
Kaucja 2500zł.

W razie zainteresowania ofertą zapraszam do kontaktu.",576998132,61191110,327,"business","yes","arranged",2100,"kamienica",47,"one",450,NA,2020-01-16 12:52:50,FALSE
"Do wynajęcia kawalerka 28 m2, składająca się z pokoju, kuchni, łazienki. Mieszkanie znajduje się na 4 piętrze, jest jasne i słoneczne. Mieszkanie jest czyste i zadbane. Świetna lokalizacja, z pełną infrastrukturą, w pobliżu sklepy osiedlowe, supermarket, apteka. Nieopodal tereny zielone oraz park. Możliwość parkowania przy budynku. 

Na wyposażeniu mieszkania znajduje się w pełni wyposażona kuchnia (piec gazowy koszt miesięczny ok 25-30zł) piekarnik. Łazienka z oknem wraz z pralką. W pokoju znajduje się duża szafa typu PAX(ikea), stolik RTV, 2xstolik,półki, rozkładana kanapa. Ogrzewanie z cieplika miejskiego.

Opłata 1400zł wynajem plus czynsz 330zł plus prąd i gaz wg. zużycia.

Mieszkanie wolne od 1 lutego. Kontakt telefoniczny.",577012224,12205593,323,"private","yes","arranged",1400,"blok",28,"one",330,NA,2020-01-17 14:13:40,FALSE
