"","Description","Individual","District","RemoteId","ID","Price","Area","FlatDetails.RoomsNum","FlatDetails.Furnished","FlatDetails.Rent","FlatDetails.PriceIncludeRent","FlatDetails.Deposit","point","SellerInfo.ID","Title"
"1","Wynajmę kawalerkę w budynku Chartowo Tower, fajny układ z kuchnią (lodówka, płyta grzewcza) schowaną za rogiem, łazienką z wanną, balkon. Więcej informacji w wiadomości prywatnej lub pod numerem telefonu.Cena: 1200 zł + 500 zł czynsz (ochrona, śmieci, windy, ryczałt wody, ogrzewanie) dodatkowo prąd i co kwartał nadmierne zużycie wody.Mieszkanie będzie można obejrzeć/wynając 4 stycznia*PS - zdjęcia stare sprzed wynajmu lokatorów sprzed kilku lat, teraz jest odmalowane i z pewnością wyglada lepiej niż na zdjęciach ;)","TRUE","462",NA,"60070376","1200","33","1","FALSE","500","FALSE","1500",366,"7175091","wynajme kawalerke"
"2","Naramowice. Duża kawalerka umeblowana o powierzchni 35 m2. Mieszkanie ma kuchnię w formie aneksu, pokój, przedpokój i łazienkę. W pokoju oraz w części aneksu na podłodze ułożono panele, w łazience na podłodze i ścianach  płytki . Okna PCV. Drzwi wejściowe antywłamaniowe. Mieszkanie wyposażone w lodówkę i zmywarkę.              Czynsz najmu 1150 zł, dodatkowe opłaty 400 zł. Wymagana kaucja 1150 zł. Okres wynajmu nie krótszy niż 12 miesięcy. Telefon: 502-590-152","TRUE","462",NA,"60070582","1150","35","1","TRUE","400","FALSE","1150",366,"2621906","Słoneczna kawalerka"
"3","Polecam do wynajęcia kawalerkę na skrzyżowaniu ul. Zwierzynieckiej i Gajowej.Budynek z windą. Mieszkanie z balkonem od str południowej, pokój z aneksem kuchennym.Jest umeblowane tak jak na zdjęciach. W aneksie kuchennym płyta elektryczna 2 palnikowa (brak piekarnika), w łazience pralka. Cena najmu 1150 zł + czynsz admin. 450 zł.Oferta biura nieruchomości. Pośrednik odpowiedzialny za ofertę - Monika Jader tel: +48 608 201 212 .Powyższa oferta nie stanowi oferty handlowej w rozumieniu art. 66 § 1 kodeksu cywilnego oraz innych właściwych przepisów prawnych. Informacje umieszczone w ofertach przekazywane są przez właścicieli nieruchomości i mogą ulegać zmianom. Staramy się aby wszystkie oferty były jak najbardziej aktualne i odpowiadały stanowi rzeczywistemu.","FALSE","462",NA,"60070665","1150","32","1","TRUE","450","FALSE","1600",366,"545930","Kawalerka na Jeżycach dla 1 os. lub pary"
"4","BT - BEZPIECZNA TRANSAKCJA TYLKO Z LICENCJONOWANYM POŚREDNIKIEM!Polecam do wynajęcia nową kawalerkę w budynku z 2013 roku na Poznańskim Piątkowie, ul. Mateckiego. Powierzchnia: ok. 33m2: pokój z wyjściem na duży balkon, kuchnia oddzielona ścianką oraz łazienka z prysznicem. W pokoju na podłodze panele, ściany gipsowane malowane. Kuchnia umeblowana (szafki + kuchenka elektryczna z piekarnikiem, okap, lodówka). W łazience pralka. W pokoju kanapa rozkładana, stolik kawowy, zestaw szaf. Możliwość parkowania przed budynkiem. Mieszkanie wolne od stycznia 2020.Czynsz najmu: 1250 zł + czynsz admin. ok. 310zł + prąd. Kaucja zwrotna 1700zł.*Usługi biura nieruchomości są płatne, zgodnie z cennikiem dostępnym na stronie tomczaknieruchomosci.Tomczak NieruchomościOsoba prowadząca: Dominika Tomczak+48 500 214 40Więcej ofert naszego biura i grupy3000 na naszej stronie:Powyższy opis ma charakter informacyjny i nie stanowi oferty w rozumieniu przepisów kodeksu cywilnego.","FALSE","462","26830423","60070920","1250","33","1","FALSE","1250","FALSE","0",365,"144035","Kawalerka z dużym balkonem w budynku z 2013r."
"5","Wynajmę kawalerkę na Górczynie ul.Raszyńska
Cena najmu 1000 zł czynsz 350 zł oraz gaz i prąd raz na dwa miesiące.","TRUE","462",NA,"60072744","1000","26","1","TRUE","350","FALSE","1500",365,"679919","Kawalerka Górczyn Raszyńska"
"6","Mieszkanie idealne dla pary lub singla! Polecam do wynajęcia bardzo ładną, w pełni umeblowaną kawalerkę w nowszym bloku przy ulicy Naramowickiej 37 (skrzyżowanie z Serbską). Mieszkanie na zadbanym, zamkniętym osiedlu. Duża kawalerka o powierzchni 35m2. Pokój dzienny połączony z aneksem kuchennym, na wyposażeniu duża lodówko-zamrażarka, piekarnik, płyta ceramiczna. W pokoju pełne umeblowanie. Łazienka w ładnych płytkach, kabina prysznicowa, pralka. W korytarzu szafa typu komandor. Z pokoju wyjście na balkon z widokiem na zieleń. Koszt najmu 1200 zl + 455 zł czynsz (w tym zaliczki na ogrzewanie i wodę) + prąd.Istnieje możliwość wynajęcia zamykanego miejsca postojowego w hali garażowej, pod budynkiem.Mieszkanie wolne od 1.02, można oglądać wcześniej.Chcesz zobaczyć to mieszkanie? Zadzwoń teraz i umów się na spotkanie.Agent odpowiedzialny za ofertę, licencja nr 569. Kontakt Marta Grzybek 501 741 688 Więcej ofert ładnych i zadbanych mieszkań do wynajęcia na naszej stronie WELCOME Nieruchomości, ul. Starowiejska 1e/2, 61-664 PoznańTreść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.","FALSE","462","11196","60075361","1200","35","1","FALSE","455","FALSE","1600",364,"583465","W pełni umeblowana kawalerka, duża,ładna"
"7","Polecam do wynajęcia w pełni wyposażoną, komfortową kawalerkę w kamienicy przy ul. Bukowskiej 21 w Poznaniu.
 
Mieszkanie znajduje się na wysokim parterze od strony dziedzińca w czteropiętrowej zrewitalizowanej kamienicy z windą. Jest świeżo wyremontowane, całkowicie umeblowane i wyposażone, o łącznej powierzchni 30 m2. Mieszkanie składa się z dużego pokoju (23,71 m2) połączonego z aneksem kuchennym i sypialnią, łazienki (3,26 m2) oraz dużego balkonu (4,5 m2).
 
Koszty:
- czynsz miesięczny - 2000 zł
- opłaty administracyjne - 340 zł
- TV + Internet - 50 zł
- prąd wg liczników
- jednorazowa kaucja: 2500 zł
 
Dodatkowo możliwość wynajęcia:
- miejsca postojowego na zamkniętym dziedzińcu - 150 zł. 
- komórki lokatorskiej/piwnicy – 100 zł
 
Wolne od zaraz, bez pośredników. Możliwość wystawienia faktury VAT.
 
Komunikacja
Łatwy dostęp do infrastruktury i sieci komunikacji miejskiej. Przystanki tramwajowe i autobusowe. Niewielka odległość do Dworca PKP, Dworca Autobusowego oraz Lotniska.
 
Okolica
- Obok Rynku Jeżyckiego, Międzynarodowych Tragów Poznańskich, Akademii Medycznej, nieopodal Uniwersytetu im. Adama Mickiewicza, niedaleko Uniwersytetu Ekonomicznego.
- Wiele restauracji i kawiarni.
- Kino Rialto, Teatr Nowy, Opera, Centrum Kultury Amarant, Concordia Design.
- Bezpośrednie sąsiedztwo z terenami zielonymi Poznańskiego Ogrodu Zoologicznego. Niedaleko Parku Sołackiego, Jeziora Rusałka, Parku Wieniawskiego.

 ","TRUE","462",NA,"60075408","2000","30","1","TRUE","390","FALSE","2500",364,"353753","Kawalerka, centrum, Jeżyce, faktura"
"8","Kawalerka na bezpiecznym, monitorowanym, zamkniętym osiedlu na Polance -&gt; ul. Milczańska.

:: O mieszkaniu ::
 
- powierzchnia 33,70m2 - wysoki parter
- duży salon z aneksem kuchennym; w salonie rozkładana kanapa, stół, 4 krzesła, szafka rtv z półkami
- pomieszczenie gospodarcze przy kuchni
- duża loggia
- łazienka z wanną, wc, umywalką i pralką
- korytarz z 2 szafami z lustrem w zabudowie
 
Wewnętrzny skwer/ tren prywatny dla mieszkańców - zamykany na klucz. Wjazd na osiedle tylko dla mieszkańców - szlaban na pilota.
Miejsca parkingowe przed blokiem dla mieszkańców osiedla.

:: Lokalizacja ::
 
Osiedle z doskonale rozwiniętą infrastrukturą: wiele punktów handlowo-usługowych (m.in. sklep spożywczy, sklep odzieżowy, fryzjer, ryneczek, restauracja, apteka, poczta, siłownia, plac zabaw itd.).
 
:: Odległości ::
 
- 5 minut pieszo do tramwaju i autobusu
- 10 minut pieszo GH Posnania i GH Malta
- 10 minut pieszo do Jeziora Malta i do parku Traszki Ratajskie

Czynsz administracyjny ok 350 zł Prąd wg zużycia
Kaucja 1500 zł
 
Preferowane osoby nie palące, bez zwierząt.
 Zapraszam na prezentację.","FALSE","462",NA,"60079875","1500","34","1","TRUE","350","FALSE","1500",362,"7166865","Kawalerka z dużą loggią na Polance, ul. Milczańska"
"9","do wynajęcia od zaraz kawalerka, 3 pietro, blok z windą, dodatkowo jest narożnik- niewidoczny na zdjęciu.
Czynsz 1.400 plus opłaty licznikowe według zużycia plus śmieci.

Pośrednikom dziękuję.

nr tel. 785 992 468","TRUE","462",NA,"60081801","1400","36","1","TRUE","1","FALSE","1400",360,"7185512","ul. Mateckiego, 1 pokojowe do wynajęcia od zaraz"
"10","Do wynajęcia (od lutego) kawalerka na os. Batorego (budynki Atanera). Ma ona powierzchnie 32 m2, na która składa się pokój z aneksem kuchennym i łazienka. Mieszkanie posiada balkon. Jest umeblowane tak jak widać na zdjęciach. Istnieje możliwość dokupienia sofy do spania. W kuchni ze sprzętów jest lodówka i 2 palnikowa płyta elektryczna. w łazience-pralka.
Czynsz najmu 1300 zł + czynsz administracyjny 440 zł + prąd wg zużycia.
Oferta biura nieruchomości. Pośrednik odpowiedzialny za ofertę: Monika Jąder tel: tel. +48 608 201 212 .Powyższa oferta nie stanowi oferty handlowej w rozumieniu art. 66 § 1 kodeksu cywilnego oraz innych właściwych przepisów prawnych. Informacje umieszczone w ofertach przekazywane są przez właścicieli nieruchomości i mogą ulegać zmianom. Staramy się aby wszystkie oferty były jak najbardziej aktualne i odpowiadały stanowi rzeczywistemu.","FALSE","462",NA,"60082208","1300","32","1","TRUE","440","FALSE","1740",360,"545930","Przytulna kawalerka w pobliżu Moraska"
